fold,condition,score_type,cosine_similarity
1,Base E5,positive_score,0.8050689697265625
1,Base E5,positive_score,0.7998136281967163
1,Base E5,positive_score,0.8605760335922241
1,Base E5,positive_score,0.8559693694114685
1,Base E5,positive_score,0.8167268633842468
1,Base E5,positive_score,0.8373265266418457
1,Base E5,positive_score,0.8392307758331299
1,Base E5,positive_score,0.8656409978866577
1,Base E5,positive_score,0.839660108089447
1,Base E5,positive_score,0.8233662247657776
1,Base E5,positive_score,0.8436026573181152
1,Base E5,positive_score,0.844968318939209
1,Base E5,positive_score,0.8299121856689453
1,Base E5,positive_score,0.7601397633552551
1,Base E5,positive_score,0.7793843746185303
1,Base E5,positive_score,0.7909502983093262
1,Base E5,positive_score,0.8444935083389282
1,Base E5,positive_score,0.784264087677002
1,Base E5,positive_score,0.7838942408561707
1,Base E5,positive_score,0.8170856833457947
1,Base E5,positive_score,0.7817502021789551
1,Base E5,positive_score,0.7870138883590698
1,Base E5,positive_score,0.7729623317718506
1,Base E5,positive_score,0.8012787103652954
1,Base E5,positive_score,0.7955904603004456
1,Base E5,positive_score,0.7414476275444031
1,Base E5,positive_score,0.8734838962554932
1,Base E5,positive_score,0.8678815960884094
1,Base E5,positive_score,0.8182752132415771
1,Base E5,positive_score,0.8319659233093262
1,Base E5,positive_score,0.8394615650177002
1,Base E5,positive_score,0.8477873206138611
1,Base E5,positive_score,0.830875039100647
1,Base E5,positive_score,0.8204856514930725
1,Base E5,positive_score,0.8571282625198364
1,Base E5,positive_score,0.7875063419342041
1,Base E5,positive_score,0.7856709957122803
1,Base E5,positive_score,0.7756820917129517
1,Base E5,positive_score,0.8507176041603088
1,Base E5,positive_score,0.8198979496955872
1,Base E5,positive_score,0.8214641213417053
1,Base E5,positive_score,0.8253663778305054
1,Base E5,positive_score,0.854257345199585
1,Base E5,positive_score,0.8242331147193909
1,Base E5,positive_score,0.8083248138427734
1,Base E5,positive_score,0.8414092063903809
1,Base E5,positive_score,0.8678033947944641
1,Base E5,positive_score,0.8340646624565125
1,Base E5,positive_score,0.8316838145256042
1,Base E5,positive_score,0.8660109043121338
1,Base E5,positive_score,0.7890609502792358
1,Base E5,positive_score,0.8060916662216187
1,Base E5,positive_score,0.8547907471656799
1,Base E5,positive_score,0.7870980501174927
1,Base E5,positive_score,0.8488572239875793
1,Base E5,positive_score,0.7983551621437073
1,Base E5,positive_score,0.8038055896759033
1,Base E5,positive_score,0.8136906027793884
1,Base E5,positive_score,0.8508148789405823
1,Base E5,positive_score,0.834556519985199
1,Base E5,positive_score,0.8443747758865356
1,Base E5,positive_score,0.8380966782569885
1,Base E5,positive_score,0.8538665771484375
1,Base E5,positive_score,0.8161249160766602
1,Base E5,positive_score,0.7732190489768982
1,Base E5,positive_score,0.793647050857544
1,Base E5,positive_score,0.8194137215614319
1,Base E5,positive_score,0.8243891000747681
1,Base E5,positive_score,0.8145784139633179
1,Base E5,positive_score,0.7841553688049316
1,Base E5,positive_score,0.8092572093009949
1,Base E5,positive_score,0.801845133304596
1,Base E5,positive_score,0.8289028406143188
1,Base E5,positive_score,0.793769896030426
1,Base E5,positive_score,0.8455771803855896
1,Base E5,positive_score,0.8166570663452148
1,Base E5,positive_score,0.8370420932769775
1,Base E5,positive_score,0.8086624145507812
1,Base E5,positive_score,0.8387131690979004
1,Base E5,positive_score,0.8293669819831848
1,Base E5,positive_score,0.815688967704773
1,Base E5,positive_score,0.8120711445808411
1,Base E5,positive_score,0.8097254633903503
1,Base E5,positive_score,0.8246712684631348
1,Base E5,positive_score,0.7898998856544495
1,Base E5,positive_score,0.8402338027954102
1,Base E5,positive_score,0.8305041193962097
1,Base E5,positive_score,0.8296825289726257
